,date,incident_id,state,n_killed,n_injured,total
184841,2017-04-30,832309,South Carolina,1,5,6
207,2013-09-24,480691,West Virginia,0,6,6
205,2013-09-22,480669,Michigan,2,4,6
225,2013-10-26,492366,Connecticut,1,5,6
67400,2015-04-27,330611,New York,2,4,6
13919,2014-04-20,127045,Illinois,0,6,6
128325,2016-05-29,567673,New Jersey,0,6,6
215685,2017-10-27,974051,Kentucky,0,6,6
81148,2015-07-22,382230,Missouri,0,6,6
158481,2016-11-26,710732,Illinois,1,5,6
8599,2014-03-09,113247,Texas,0,6,6
163331,2016-12-25,733599,New York,1,5,6
158163,2016-11-24,709370,Kentucky,2,4,6
189085,2017-05-24,852174,California,0,5,5
78124,2015-07-04,368987,Massachusetts,1,4,5
6462,2014-02-16,107433,Florida,1,4,5
76094,2015-06-21,361708,Kentucky,1,4,5
92079,2015-09-28,422035,Illinois,2,3,5
93283,2015-10-06,426256,Maryland,0,5,5
191600,2017-06-06,861307,Utah,3,2,5
184638,2017-04-29,832290,California,0,5,5
83214,2015-08-04,389149,Missouri,1,4,5
82928,2015-08-02,386066,Georgia,0,5,5
92089,2015-09-28,422064,Illinois,3,2,5
77110,2015-06-28,365391,Michigan,0,5,5
92093,2015-09-28,421650,Ohio,0,5,5
189849,2017-05-28,853920,Mississippi,0,5,5
85219,2015-08-16,395718,South Carolina,0,5,5
83071,2015-08-03,387194,New York,0,5,5
16858,2014-05-13,134823,Georgia,0,5,5
184836,2017-04-30,833128,Florida,0,5,5
184747,2017-04-30,832528,Kansas,4,1,5
191040,2017-06-03,858719,Louisiana,3,2,5
82829,2015-08-02,385824,Illinois,1,4,5
190818,2017-06-02,858378,Texas,2,3,5
92695,2015-10-02,424224,Maryland,1,4,5
87439,2015-08-30,404167,Tennessee,1,4,5
91406,2015-09-24,419718,Illinois,0,5,5
89451,2015-09-11,412557,North Carolina,0,5,5
81918,2015-07-27,382459,Illinois,0,5,5
80298,2015-07-17,376211,Illinois,0,5,5
83899,2015-08-08,390914,North Carolina,2,3,5
17423,2014-05-17,136163,District of Columbia,0,5,5
81805,2015-07-26,381814,Missouri,2,3,5
81695,2015-07-26,381820,Indiana,0,5,5
80415,2015-07-18,376702,Oregon,1,4,5
235364,2018-03-04,1062466,Illinois,1,4,5
89196,2015-09-10,412040,Minnesota,5,0,5
180487,2017-04-07,813821,Texas,5,0,5
6340,2014-02-15,107403,Nevada,0,5,5
80449,2015-07-18,390936,California,0,5,5
81096,2015-07-22,379166,Georgia,5,0,5
184943,2017-05-01,833152,Texas,2,3,5
180459,2017-04-07,813943,Minnesota,4,1,5
87318,2015-08-30,404173,Michigan,1,4,5
91233,2015-09-23,419250,Louisiana,0,5,5
179351,2017-04-01,809499,Oklahoma,2,3,5
179332,2017-04-01,809048,Florida,1,4,5
6077,2014-02-12,106394,Indiana,0,5,5
6421,2014-02-16,108659,Texas,1,4,5
187249,2017-05-14,843172,Florida,0,5,5
79515,2015-07-13,373768,California,1,4,5
178141,2017-03-25,802926,Tennessee,1,4,5
